"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://homenesto.com/collections/family-apartments-in-surat/","1","Non-Indexable","Canonicalised","https://homenesto.com/collections/family-apartments-in-surat","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/collections/best-commercial-projects-in-rajkot/","1","Non-Indexable","Canonicalised","https://homenesto.com/collections/best-commercial-projects-in-rajkot","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/collections/affordable-flats-in-ahmedabad/","1","Non-Indexable","Canonicalised","https://homenesto.com/collections/affordable-flats-in-ahmedabad","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/collections/3bhk-flats/","1","Non-Indexable","Canonicalised","https://homenesto.com/collections/3bhk-flats","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/collections/2bhk-flats-in-rajkot/","1","Non-Indexable","Canonicalised","https://homenesto.com/collections/2bhk-flats-in-rajkot","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/collections/2bhk-flats-in-ahmedabad/","1","Non-Indexable","Canonicalised","https://homenesto.com/collections/2bhk-flats-in-ahmedabad","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/collections/","1","Non-Indexable","Canonicalised","https://homenesto.com/collections","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/cities/","1","Non-Indexable","Canonicalised","https://homenesto.com/cities","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/careers/","1","Non-Indexable","Canonicalised","https://homenesto.com/careers","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/buying-guide/stamp-duty-guide/","1","Non-Indexable","Canonicalised","https://homenesto.com/buying-guide/stamp-duty-guide","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/buying-guide/rera-guide/","1","Non-Indexable","Canonicalised","https://homenesto.com/buying-guide/rera-guide","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/buying-guide/property-tax-guide/","1","Non-Indexable","Canonicalised","https://homenesto.com/buying-guide/property-tax-guide","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/buying-guide/property-documents-checklist/","1","Non-Indexable","Canonicalised","https://homenesto.com/buying-guide/property-documents-checklist","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/buying-guide/how-to-buy-property/","1","Non-Indexable","Canonicalised","https://homenesto.com/buying-guide/how-to-buy-property","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/buying-guide/home-loan-guide/","1","Non-Indexable","Canonicalised","https://homenesto.com/buying-guide/home-loan-guide","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/buying-guide/","1","Non-Indexable","Canonicalised","https://homenesto.com/buying-guide","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/blog/affordable-rental-apartments-top-5-areas-in-bengaluru-for-budget-friendly-living","1","Non-Indexable","Canonicalised","https://homenesto.com/blog/affordable-rental-apartments-top-5-areas-in-bengaluru","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/author/neil-bhodia/","1","Non-Indexable","Canonicalised","https://homenesto.com/author/neil-bhodia","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/author/madhav-ladani/","1","Non-Indexable","Canonicalised","https://homenesto.com/author/madhav-ladani","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/author/dhawal-patel/","1","Non-Indexable","Canonicalised","https://homenesto.com/author/dhawal-patel","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/advertise-with-us/","1","Non-Indexable","Canonicalised","https://homenesto.com/advertise-with-us","","index, follow, max-image-preview:large","","","","",""
"https://homenesto.com/about-us/","1","Non-Indexable","Canonicalised","https://homenesto.com/about-us","","index, follow, max-image-preview:large","","","","",""
